SAMPLE,EV1,EV37,GT011,GT023,GT195,GT211,GT271,GT310,GT575,GATA028,GATA053,GATA098,GATA417,GGAA520,TAA023,ZFX
IC-83-B9-01,157171,193193,119129,123125,161175,106124,114116,112112,152154,215227,246246,104108,213265,211219,086104,245245
IC-83-B9-02,157163,187191,117131,123129,161173,116116,116116,112112,152154,199203,246262,096108,269273,207219,086098,212245
IC-83-B9-03,163175,191193,127127,129133,161161,114122,116116,112122,154158,207227,246262,096104,217273,223223,092095,212245
IC-83-B9-04,145165,195195,127129,121129,173175,118122,114114,110112,150158,191215,246274,104108,265277,215215,086095,245245
IC-83-B9-05,157159,183191,123127,129141,171175,106122,114116,112112,152154,211219,246262,096096,217273,207215,086086,245245
IC-83-B9-06,157163,191191,127129,109129,161161,114124,114116,112112,152154,207207,266266,096108,225265,207219,095095,212245
IC-83-B9-07,157163,183197,117125,123133,171173,000000,114122,110126,154160,211231,250266,088100,225289,207223,095104,245245
IC-83-B9-08,157169,183191,127127,127129,161161,112118,114118,112126,154154,203219,246262,096100,233281,215215,086098,212245
IC-83-B9-09,157171,191197,123127,129129,169175,114116,108116,124126,154160,215235,246262,100112,269269,203211,092104,212245
IC-83-B9-10,157157,181191,117123,129143,173173,114114,110116,110114,154158,191207,246262,100100,225257,223223,086098,245245
IC-83-B9-11,157169,193199,117119,129129,161173,116120,114118,108108,152158,199207,246262,104108,261269,203203,095095,245245
IC-83-B9-13,157163,183197,127129,127129,175177,112114,108116,110112,152154,227231,246262,096100,265269,207211,095095,245245
IC-83-B9-14,163163,193193,125129,123123,175177,112114,116128,110112,152154,203227,266266,100100,265269,000000,086098,245245
IC-83-B9-15,163163,183187,123131,127129,161169,120122,116116,112126,154160,191231,246246,104112,217225,207211,101104,245245
IC-83-B9-16,163163,183187,117123,125125,173173,120120,108108,112126,154160,223227,246270,104112,221269,215215,095101,245245
IC-83-B9-17,157169,193197,119119,129129,161171,106118,116116,112112,152156,199211,266270,096096,225265,215231,086095,212245
IC-83-B9-18,157163,183201,123131,127129,171171,106116,114114,112114,152154,199227,266266,096096,217261,203219,098101,245245
IC-83-B9-19,163169,193197,125127,125127,171173,116126,114116,112126,154156,203227,250270,100104,221273,207223,095101,245245
IC-83-B9-20,169169,193199,127127,129129,171173,106114,108118,124126,152154,211219,246246,100104,229261,000000,095095,245245
IC-83-B9-21,157157,191197,129131,125129,173177,116122,116116,112126,146154,231239,246262,096096,225261,000000,095095,245245
IC-83-B9-22,157157,187201,119129,129129,171171,116122,116116,112124,154158,203227,246246,104104,273281,207211,095098,245245
IC-83-B9-23,163169,183193,127127,125133,171173,106120,114114,106126,154158,223227,262266,104104,261269,207223,086095,212245
IC-83-B9-24,157157,191197,117127,125129,161173,106122,114122,112124,146154,191223,246262,104104,269281,207223,092095,212245
IC-83-B9-25,157157,183187,119129,121131,161163,116122,118118,112126,152158,223231,262262,108108,265265,207215,086086,245245
IC-83-B9-26,159173,191191,123127,125129,161173,106120,118122,110124,146156,227231,246246,104108,221265,211215,095101,212245
IC-83-B9-27,157163,181183,131131,131135,173175,106120,118118,112112,154158,211223,246262,100108,269273,203219,095104,212245
